Date,Open,High,Low,Close,Volume
1629070200000,47120.01,47160,47045.69,47050.34,792.037
1629070500000,47050.34,47094.38,46909.67,46937.96,1863.536
1629070800000,46937.96,47027.57,46937.96,46973.47,1011.02
1629071100000,46975.63,47045.88,46966.34,46984.35,916.352
1629071400000,46984.35,47104.39,46981.98,47054.93,836.182
1629071700000,47054.93,47099,47003,47006.02,741.695
1629072000000,47006.02,47187.34,47002.08,47064.99,1808.905
1629072300000,47064.99,47189.75,47064.99,47136.52,1268.652
1629072600000,47136.51,47554,46769.91,47517,7790.156
1629072900000,47517,47749.99,47345.01,47728.85,11076.904
1629073200000,47728.85,47847.36,47584,47661.61,5134.285
1629073500000,47661.61,47662.17,47454,47550.88,3268.402
1629073800000,47550.87,47746.21,47540.16,47736.14,2956.024
1629074100000,47736.15,47840.86,47640,47701.57,3534.408
1629074400000,47701.56,47749.47,47651.67,47675.02,1030.347
1629074700000,47675.01,47765.26,47643.92,47709.29,1425.153
1629075000000,47709.29,47800,47642.82,47692.49,1225.416
1629075300000,47692.49,47699.75,47562.79,47568.9,1467.089
1629075600000,47568.91,47688,47501,47570.16,2091.004
1629075900000,47570.15,47655.77,47501,47504.03,1403.583
1629076200000,47504.04,47585.43,47504.04,47512.04,705.412
1629076500000,47512.03,47584,47504.04,47514.97,586.82
1629076800000,47516.21,47579.51,47501.19,47543.99,582.984
1629077100000,47543.65,47612.19,47541.09,47602.76,810.155
1629077400000,47602.77,47723.67,47600.32,47690,1087.596
1629077700000,47690,47705.85,47611.32,47629.77,721.047
1629078000000,47630.49,47640,47555.01,47574.19,683.003
1629078300000,47572.53,47625.46,47543.66,47556.53,455.301
1629078600000,47556.53,47628.97,47545.37,47596.51,534.041
1629078900000,47596.51,47699,47592.59,47671.66,627.963
1629079200000,47671.65,47745,47671.65,47705.05,955.279
1629079500000,47705.1,47802.05,47680,47730.91,2272.026
1629079800000,47730.9,47747.45,47670.86,47690,754.493
1629080100000,47690,47712.85,47652.75,47665.36,473.334
1629080400000,47665.99,47677.29,47588.53,47606.69,1483.114
1629080700000,47606.69,47648.82,47590,47618.01,633.186
1629081000000,47618.01,47668.88,47573,47585.64,482.293
1629081300000,47585.63,47646.24,47585.63,47615.1,346.998
1629081600000,47615.09,47720,47615,47713.01,637.424
1629081900000,47713.09,48047.52,47712.21,47871.02,7011.458
1629082200000,47871.01,47909.33,47806.6,47871.99,1399.051
1629082500000,47871.99,48009.19,47866.45,48005.76,1634.898
1629082800000,48005.76,48074.23,47782.01,47794.99,2734.611
1629083100000,47794.98,47862.68,47751.44,47758.52,927.69
1629083400000,47758.52,47820,47662.99,47686.97,2535.521
1629083700000,47686.98,47746,47638.84,47691.3,1481.061
1629084000000,47691.31,47780,47676.15,47733.11,610.818
1629084300000,47733.1,47738.77,47655.23,47657.52,587.958
1629084600000,47657.17,47717.21,47515.5,47517.69,1942.755
1629084900000,47516.99,47655,47410.3,47645.79,2754.325
1629085200000,47645.8,47670,47519.45,47527.5,853.222
1629085500000,47527.36,47620.01,47519.85,47528.03,1029.177
1629085800000,47528.01,47576.57,47350,47393.25,2113.104
1629086100000,47393.25,47476.76,47384.35,47391.88,1554.098
1629086400000,47391.89,47520,47384.35,47468.4,1513.115
1629086700000,47468.4,47531.89,47468.38,47528.63,819.383
1629087000000,47528.62,47548.07,47366,47422.72,1326.071
1629087300000,47422.73,47550,47415.6,47537.9,792.462
1629087600000,47537.91,47600,47455.64,47456.43,961.753
1629087900000,47456.44,47522.92,47440.8,47450,678.703
1629088200000,47450,47487.07,47426.08,47455,578.87
1629088500000,47455,47533.04,47450.74,47515.17,457.072
1629088800000,47515.16,47535.89,47490.86,47503.28,390.903
1629089100000,47503.29,47540,47470,47501.74,475.897
1629089400000,47501.73,47544,47501.73,47520.38,445.36
1629089700000,47520.38,47527.96,47422.34,47431.04,590.202
1629090000000,47429.9,47491.94,47427.46,47455.01,493.512
1629090300000,47455,47630,47450.6,47564.79,1154.647
1629090600000,47567.09,47641.02,47517.81,47522.59,799.712
1629090900000,47522.84,47533.9,47476.72,47500,433.689
1629091200000,47500.01,47550,47480,47498.98,562.248
1629091500000,47498.99,47554.84,47497.38,47535.77,386.083
1629091800000,47535.76,47540.39,47479.72,47500,528.721
1629092100000,47500.01,47515,47460,47466.98,369.232
1629092400000,47466.98,47540,47456,47537.3,426.057
1629092700000,47537.3,47551.92,47440,47465.56,725.733
1629093000000,47465.56,47540.45,47465.55,47512.94,340.373
1629093300000,47512.94,47650.32,47511.49,47636.56,991.844
1629093600000,47635.68,47759.74,47540,47541.65,1881.353
1629093900000,47541.64,47558.23,47471.48,47479.06,983.416
1629094200000,47479.06,47550,47460,47467.58,723.771
1629094500000,47469.95,47470.18,47206.71,47261.1,3430.982
1629094800000,47261.09,47320,47240.62,47283.54,1280.31
1629095100000,47283.53,47320,47228.53,47230.01,862.622
1629095400000,47230.15,47369.3,47228.53,47369.3,1114.05
1629095700000,47369.3,47380,47335.08,47357.65,611.928
1629096000000,47357.65,47413.8,47344.59,47380.43,571.948
1629096300000,47380.44,47449,47375.84,47440.15,845.579
1629096600000,47440.15,47470.76,47388.75,47406.31,618.646
1629096900000,47408.6,47408.61,47284.98,47358.01,795.265
1629097200000,47358.02,47440,47328.94,47414.29,837.522
1629097500000,47414.29,47433,47339.18,47374.27,526.815
1629097800000,47374.27,47421.86,47358,47378.88,523.082
1629098100000,47378.88,47380.58,47320,47329.98,532.836
1629098400000,47329.98,47390.98,47327.18,47377.98,325.227
1629098700000,47377.98,47500,47372.17,47478.53,975.061
1629099000000,47478.53,47533.28,47425.01,47450.8,1023.002
1629099300000,47450.79,47482.49,47422.69,47447.99,479.037
1629099600000,47447.99,47485,47430.09,47449.97,256.948
1629099900000,47449.97,47456.1,47389.44,47399.99,388.8
1629100200000,47399.99,47419.3,47331.84,47388.47,766.012
1629100500000,47388.46,47393.86,47321.75,47335.09,493.213
1629100800000,47335.09,47431.12,47280.31,47416.22,1296.394
1629101100000,47416.22,47451.41,47110,47158.71,3501.033
1629101400000,47158.7,47275.18,47158.7,47190.94,1617.424
1629101700000,47191.27,47245.83,47039.49,47081.21,2258.842
1629102000000,47081.21,47149.75,47020,47137.47,2131.461
1629102300000,47137.47,47227.72,47125,47223.88,1244.282
1629102600000,47223.87,47288.1,47201.8,47251,947.072
1629102900000,47251,47286,47172,47197.68,721.157
1629103200000,47197.67,47274.07,47197.67,47233.29,466.115
1629103500000,47233.29,47262.25,47203.18,47234.11,604.151
1629103800000,47234.1,47293,47191.93,47193.03,835.238
1629104100000,47193.04,47231.75,47149,47164.23,768.266
1629104400000,47164.23,47208.41,47152.95,47174.41,470.968
1629104700000,47174.42,47237.19,47091.47,47230.76,1119.316
1629105000000,47230.76,47244.83,47202.92,47237.63,405.493
1629105300000,47237.62,47253.04,47159.52,47182,687.259
1629105600000,47182,47182,47104.26,47164.88,628.969
1629105900000,47165.4,47165.81,47080,47118.17,738.875
1629106200000,47118.16,47226,47095,47195.01,922.368
1629106500000,47195,47215.96,47138.48,47148.29,624.973
1629106800000,47148.29,47180,47082.31,47128.27,519.519
1629107100000,47128.27,47161.52,47060,47103.59,597.32
1629107400000,47103.59,47200,47100.12,47181.79,961.831
1629107700000,47181.8,47216,47161.54,47200.03,559.608
1629108000000,47200.02,47588.88,47200,47467.64,4624.939
1629108300000,47467.65,47500,47363.3,47421.49,1913.422
1629108600000,47421.49,47427.79,47350,47398.05,941.955
1629108900000,47398.05,47400,47325.87,47400,996.427
1629109200000,47400,47413.54,47359.04,47392.29,927.944
1629109500000,47392.28,47392.29,47271,47302.2,1183.11
1629109800000,47302.2,47364,47293.69,47363.99,716.976
1629110100000,47364,47407.95,47316.17,47399.13,640.936
1629110400000,47399.13,47399.13,47355.4,47384.15,463.143
1629110700000,47384.16,47431.3,47350,47420.91,712.353
1629111000000,47420.81,47518.74,47400,47434.4,1159.581
1629111300000,47435.84,47464.32,47380,47454.35,853.397
1629111600000,47454.35,47509.44,47390,47419.71,812.89
1629111900000,47419.7,47465.37,47410,47429.98,686.636
1629112200000,47429.99,47655.53,47410,47591.13,2268.272
1629112500000,47591.14,47690,47533.53,47552.66,2191.207
1629112800000,47552.67,47628.15,47508.85,47616.49,887.349
1629113100000,47618.02,47678.08,47517.11,47547.64,1555.528
1629113400000,47547.64,47578.4,47490.61,47499.97,1195.347
1629113700000,47499.96,47540.91,47490.3,47510.76,856.928
1629114000000,47510.76,47515,47466.52,47490,539.864
1629114300000,47490,47533.88,47461.67,47475.98,720.57
1629114600000,47475.98,47514.36,47450,47489.56,582.358
1629114900000,47489.56,47554.12,47489.55,47541.9,585.02
1629115200000,47541.91,47579.99,47333.26,47361.06,2332.629
1629115500000,47361.06,47430.41,47224,47422.9,2368.37
1629115800000,47422.9,47750,47348.24,47365.98,5241.847
1629116100000,47365.98,47384,47250.31,47338.87,3758.549
1629116400000,47338.88,47459.89,47330,47433.11,1252.494
1629116700000,47433.12,47436.81,47340.7,47355.64,663.124
1629117000000,47356.54,47437,47325.01,47396.45,1090.472
1629117300000,47396.46,47414.59,47300,47343.43,633.523
1629117600000,47343.42,47346.22,47280,47289.21,767.754
1629117900000,47289.96,47313.99,47169.54,47256.03,2198.17
1629118200000,47254.57,47328.82,47238.72,47310.51,633.95
1629118500000,47310.5,47344.33,47270.02,47336.41,640.9
1629118800000,47336.41,47406.68,47300.93,47302.56,1090.948
1629119100000,47302.56,47343.69,47228.56,47283.61,1138.773
1629119400000,47283.6,47306.8,47235,47276,746.252
1629119700000,47276,47276,47201,47219.17,690.613
1629120000000,47219.16,47219.17,47067.3,47136.53,2956.19
1629120300000,47135.45,47172.23,47108,47116.23,972.798
1629120600000,47116.22,47206.25,47035.78,47078.12,2264.432
1629120900000,47078.13,47078.13,46610,46709,11051.756
1629121200000,46709,46737.04,46560,46628.42,4830.926
1629121500000,46628.43,46726.32,46510,46537.51,4490.241
1629121800000,46537.51,46574.96,46331.92,46485.57,8046.794
1629122100000,46485.58,46560,46411.1,46465,3110.678
1629122400000,46464.99,46620,46400,46530.25,3754.165
1629122700000,46530.25,46587.44,46250,46302.04,4330.094
1629123000000,46302.04,46446.83,46280,46429.41,2477.601
1629123300000,46429.4,46519.54,46337.91,46436,2044.496
1629123600000,46436.01,46439.01,46361.93,46391.05,1345.933
1629123900000,46391.06,46440.49,46340,46435.35,1581.211
1629124200000,46435.34,46435.34,46312,46406.66,1437.743
1629124500000,46406.66,46407.16,46293.4,46385.75,1156.915
1629124800000,46385.75,46386.47,46189.99,46242.9,3083.26
1629125100000,46242.9,46400,46207.51,46399.82,2382.295
1629125400000,46399.82,46400,46270,46293.42,1305.626
1629125700000,46293.41,46314.87,46110,46138.77,3934.199
1629126000000,46138.76,46365.28,46073.96,46190.5,5005.546
1629126300000,46189.44,46290.23,46105.02,46122.02,2239.37
1629126600000,46122.01,46195.65,46036.01,46129.57,2364.595
1629126900000,46128.93,46263.76,46103.59,46245.88,1539.922
1629127200000,46245.89,46256.83,46140,46195.39,1212.732
1629127500000,46195.39,46195.39,46100,46112.7,988.174
1629127800000,46112.72,46336.1,45922.39,46320.01,6779.523
1629128100000,46320.01,46349,46189.19,46335.81,1840.735
1629128400000,46336.1,46360,46261.27,46359.42,1669.356
1629128700000,46359.42,46371.92,46270,46344.1,1478.433
1629129000000,46344.19,46366.91,46307.01,46322.8,1461.84
1629129300000,46322.8,46370.5,46290,46350.8,1297.108
1629129600000,46350.8,46426.58,46222,46423.7,2702.904
1629129900000,46423.13,46555,46360.28,46533.96,3127.238
1629130200000,46533.95,46533.96,46422,46491.01,1392.185
1629130500000,46491.01,46491.01,46410,46424.18,812.115
1629130800000,46424.18,46427.45,46300,46344.48,1520.473
1629131100000,46344.47,46344.47,46288.3,46306.34,1009.6
1629131400000,46306.01,46382.25,46260.59,46382.1,1074.032
1629131700000,46382.1,46415.49,46291.83,46352.15,751.357
1629132000000,46352.15,46405.34,46318.26,46377.54,561.603
1629132300000,46377.46,46485,46350,46428.97,1019.949
1629132600000,46428.97,46440.52,46380,46420.29,821.37
1629132900000,46420.29,46458.35,46402.12,46453.15,410.06
1629133200000,46453.15,46453.15,46322.64,46366.99,1078.93
1629133500000,46366.99,46447.99,46366.99,46438.09,430.395
1629133800000,46438.09,46438.57,46330,46358.86,500.628
1629134100000,46358.85,46409.13,46334.23,46390.02,352.429
1629134400000,46390.01,46418.72,46302.36,46302.36,610.149
1629134700000,46302.36,46315.25,46180.56,46266,1732.879
1629135000000,46266.01,46380,46200,46358.09,1409.66
1629135300000,46356.99,46372.5,46309,46322.89,684.383
1629135600000,46322.9,46432.74,46320.26,46419.99,1130.406
1629135900000,46420,46550,46420,46525.86,1690.13
1629136200000,46525.85,46529.59,46420,46495.34,1144.281
1629136500000,46495.34,46539.39,46400.41,46484.81,1157.783
1629136800000,46482.87,46517.46,46382.52,46395.25,878.057
1629137100000,46395.25,46450,46379.61,46423.63,514.898
1629137400000,46423.62,46545.6,46383.3,46536.35,1205.259
1629137700000,46536.36,46694.41,46481.41,46658,2782.504
1629138000000,46655.74,46655.75,46555,46639.75,1033.437
1629138300000,46639.74,46669.18,46536.25,46546.88,848.713
1629138600000,46546.88,46560.01,46509.64,46542.12,748.277
1629138900000,46542.12,46542.12,46428.93,46474.85,984.201
1629139200000,46472.55,46472.56,46380,46395.98,804.879
1629139500000,46395.99,46460.07,46394.98,46442.2,426.432
1629139800000,46442.2,46536.06,46437.57,46530.04,673.65
1629140100000,46530.05,46546.04,46397.61,46490.32,721.283
1629140400000,46490.32,46490.32,46331.47,46372.57,1250.535
1629140700000,46375.39,46460.95,46375.38,46443.82,641.133
1629141000000,46443.81,46446.55,46306.15,46318.99,634.082
1629141300000,46318.98,46400,46294,46375.65,618.9
1629141600000,46375.66,46413.08,46294,46294.03,475.766
1629141900000,46294.02,46338.09,46255.01,46259.63,1138.628
1629142200000,46259.63,46350,46257.58,46292.49,816.815
1629142500000,46292.5,46372.52,46292.49,46367.84,460.187
1629142800000,46367.83,46435.31,46354.2,46384.87,716.017
1629143100000,46384.86,46384.86,46184.25,46196.77,1313.395
1629143400000,46196.78,46247.55,46170,46170.01,1082.206
1629143700000,46170.01,46235.02,46102,46125.24,1352.617
1629144000000,46125.23,46151,45806.06,45834.01,6179.623
1629144300000,45834.01,45920,45700,45774.17,5540.311
1629144600000,45777.74,45920,45735.2,45874.24,2681.097
1629144900000,45874.24,45918.55,45730,45751.23,2426.68
1629145200000,45751.23,45805.05,45682.03,45723.87,2258.782
1629145500000,45723.87,45818.58,45703.53,45799.18,1417.773
1629145800000,45799.18,45939,45755,45853.23,1863.399
1629146100000,45853.23,45920,45782,45790.16,1123.688
1629146400000,45789.32,45865.16,45751,45782.78,978.041
1629146700000,45782.77,45912,45780,45860.28,625.535
1629147000000,45860.28,45997,45860.28,45937.05,1495.304
1629147300000,45937.05,46129.99,45877.48,46096.47,2213.256
1629147600000,46093.01,46163.76,46034.29,46161.14,894.069
1629147900000,46161.14,46164.57,45966.35,45999.98,1101.801
1629148200000,45999.99,46119.63,45989.41,46034.87,658.313
1629148500000,46034.86,46057.03,45913.6,46054.99,986.147
1629148800000,46054.99,46086.24,45951.64,45980,608.663
1629149100000,45980,46177.01,45962.14,46152.06,923.266
1629149400000,46152.05,46250,46147.61,46163.86,1486.9
1629149700000,46163.85,46219.05,46160.82,46212.77,610.235
1629150000000,46212.78,46243,46200.79,46243,774.641
1629150300000,46243,46274.87,46103.71,46168.56,1062.925
1629150600000,46168.56,46168.56,46083.19,46145.11,792.713
1629150900000,46145.1,46145.11,46059.72,46071.7,696.216
1629151200000,46071.71,46139.95,46012.13,46134.72,859.102
1629151500000,46134.73,46333,46132.35,46244.08,1690.541
1629151800000,46242.92,46282.11,46182.17,46189,790.437
1629152100000,46188.01,46350,46187.17,46339.08,1288.709
1629152400000,46339.08,46342.86,46203.36,46209.83,819.341
1629152700000,46209.82,46216.7,46170,46188.41,484.7
1629153000000,46188.41,46199.44,46095.23,46186.57,886.987
1629153300000,46186.56,46213.14,46113.66,46204.06,501.53
1629153600000,46204.06,46237,46080.44,46102.55,662.696
1629153900000,46102.54,46165.56,46063,46084.72,709.605
1629154200000,46084.73,46251.47,46084.73,46178.61,767.325
1629154500000,46178.6,46221.82,46106.71,46141.38,539.966
1629154800000,46141.37,46154.34,46083,46121.67,479.922
1629155100000,46115.9,46128.56,46013.4,46018.39,975.484
1629155400000,46018.39,46125.29,46002.13,46060.04,874.518
1629155700000,46060.73,46071.14,45850,45875.73,1808.484
1629156000000,45875.73,45915.09,45733.61,45837.76,2153.645
1629156300000,45837.76,45942.29,45825.37,45924.79,1220.354
1629156600000,45925.42,46086.11,45925.42,46011.73,1535.466
1629156900000,46011.73,46182.6,45989.96,46175.01,958.239
1629157200000,46175,46199,46120,46141.89,1087.933
1629157500000,46141.88,46141.89,45936.16,46000,1231.849
1629157800000,45999.99,46000,45837,45878.37,1264.381
1629158100000,45877,46136.33,45877,45926.23,1401.451
1629158400000,45926.23,46108.6,45855.24,45894.21,2564.756
1629158700000,45894.22,45955.76,45850,45928.53,1311.565
1629159000000,45928.53,45933.11,45750,45815.11,1797.004
1629159300000,45814.29,45864.99,45633.8,45739.13,3519.279
1629159600000,45739.12,45742.63,45461.63,45475.9,4472.28
1629159900000,45484.23,45588.64,45240,45586.5,9333.152
1629160200000,45586.49,45699.99,45514.82,45558.53,2761.198
1629160500000,45558.52,45615.22,45443.82,45500,2709.186
1629160800000,45499.99,45648.65,45460,45527.46,1753.123
1629161100000,45527.46,45750.84,45493.86,45738.99,1922.551
1629161400000,45738.99,45816.29,45688,45805.29,1503.659
1629161700000,45803.08,45843.42,45731.18,45788.55,1165.972
1629162000000,45788.7,45950,45746,45898.75,2170.138
1629162300000,45898.55,46058.04,45890,46012.05,1892.257
1629162600000,46012.06,46096,45980.26,45986.77,1785.525
1629162900000,45988.61,46050,45950,45986.41,888.419
1629163200000,45986.41,46200,45983.05,46194.21,1717.09
1629163500000,46194.2,46319.28,46175.9,46292.13,3314.049
1629163800000,46292.72,46292.9,46167.2,46180.01,1885.716
1629164100000,46180,46236.07,46158.33,46231.08,916.448
1629164400000,46230.62,46265.82,46159,46265.82,738.984
1629164700000,46265.82,46399.99,46256.99,46294.43,3057.004
1629165000000,46294.48,46318.26,46202.08,46233.89,1413.707
1629165300000,46233.89,46313,46214.33,46303.73,613.295
